"linenumber","fec_committee_id","tran_id","flag_orgind","recipient","last_name","first_name","middle_name","prefix","suffix","address_one","address_two","city","state","zip","date","amount","aggregate_amount","purpose","memo_code","memo_text","cycle"
"SB17","C00869016","HFM1449","ORG","PEPSI",,,,,,"700 Anderson Hill Rd",,"Purchase","NY","10577","2024-07-22","2.6",,"MEALS",,,"2024"
"SB17","C00869016","HFM1450","ORG","PEPSI",,,,,,"700 Anderson Hill Rd",,"Purchase","NY","10577","2024-07-22","2.35",,"MEALS",,,"2024"
"SB17","C00869016","HFM1451","ORG","PEPSI",,,,,,"700 Anderson Hill Rd",,"Purchase","NY","10577","2024-07-22","2.6",,"MEALS",,,"2024"
"SB17","C00869016","HFM1452","ORG","PIER 1 IMPORTS",,,,,,"100 Pier 1 Pl",,"Fort worth","TX","76102","2024-08-19","72.98",,"EVENT SUPPLIES",,,"2024"
"SB17","C00869016","HFM1453","ORG","PINEY ORCHARD",,,,,,"2400 Stream Valley Dr",,"Odenton","MD","21113","2024-08-22","123.6",,"MEALS",,,"2024"
"SB17","C00869016","HFM1454","ORG","PUBLIC STORAGE",,,,,,"701 WESTERN AVE",,"GLENDALE","CA","91201","2024-07-03","102",,"RENT EXPENSE",,,"2024"
"SB17","C00869016","HFM1455","ORG","PUBLIC STORAGE",,,,,,"701 WESTERN AVE",,"GLENDALE","CA","91201","2024-07-03","579",,"RENT EXPENSE",,,"2024"
"SB17","C00869016","HFM1456","ORG","PUBLIC STORAGE",,,,,,"701 WESTERN AVE",,"GLENDALE","CA","91201","2024-08-05","579",,"RENT EXPENSE",,,"2024"
"SB17","C00869016","HFM1457","ORG","PUBLIC STORAGE",,,,,,"701 WESTERN AVE",,"GLENDALE","CA","91201","2024-08-05","102",,"RENT EXPENSE",,,"2024"
"SB17","C00869016","HFM1458","ORG","PUBLIC STORAGE",,,,,,"701 WESTERN AVE",,"GLENDALE","CA","91201","2024-09-03","102",,"RENT EXPENSE",,,"2024"
"SB17","C00869016","HFM1459","ORG","PUBLIC STORAGE",,,,,,"701 WESTERN AVE",,"GLENDALE","CA","91201","2024-09-03","579",,"RENT EXPENSE",,,"2024"
"SB17","C00869016","HFM1460","ORG","PURPLE SURFBOARD",,,,,,"555 METRO PLACE N",,"DUBLIN","OH","43017","2024-08-29","4689.16",,"EVENT SUPPLIES",,,"2024"
"SB17","C00869016","HFM1461","ORG","PURPLE SURFBOARD",,,,,,"555 METRO PLACE N",,"DUBLIN","OH","43017","2024-07-24","60256.63",,"STRATEGIC CONSULTING AND MANAGEMENT SEE MEMO",,,"2024"
"SB17","C00869016","HFM1462","ORG","PURPLE SURFBOARD",,,,,,"555 METRO PLACE N",,"DUBLIN","OH","43017","2024-07-30","7358.75",,"STRATEGIC CONSULTING AND MANAGEMENT SEE MEMO",,,"2024"
"SB17","C00869016","HFM1463","ORG","PURPLE SURFBOARD",,,,,,"555 METRO PLACE N",,"DUBLIN","OH","43017","2024-08-12","60327.64",,"STRATEGIC CONSULTING AND MANAGEMENT SEE MEMO",,,"2024"
"SB17","C00869016","HFM1464","ORG","PURPLE SURFBOARD",,,,,,"555 METRO PLACE N",,"DUBLIN","OH","43017","2024-08-28","60327.64",,"STRATEGIC CONSULTING AND MANAGEMENT SEE MEMO",,,"2024"
"SB17","C00869016","HFM1465","ORG","PURPLE SURFBOARD",,,,,,"555 METRO PLACE N",,"DUBLIN","OH","43017","2024-08-29","4689.16",,"STRATEGIC CONSULTING AND MANAGEMENT SEE MEMO",,,"2024"
"SB17","C00869016","HFM1466","ORG","PURPLE SURFBOARD",,,,,,"555 METRO PLACE N",,"DUBLIN","OH","43017","2024-09-11","60327.64",,"STRATEGIC CONSULTING AND MANAGEMENT SEE MEMO",,,"2024"
"SB17","C00869016","HFM1467","ORG","PURPLE SURFBOARD",,,,,,"555 METRO PLACE N",,"DUBLIN","OH","43017","2024-09-24","60273.71",,"STRATEGIC CONSULTING AND MANAGEMENT SEE MEMO",,,"2024"
"SB17","C00869016","HFM1468","ORG","PURPLE SURFBOARD",,,,,,"555 METRO PLACE N",,"DUBLIN","OH","43017","2024-09-30","5664.2",,"STRATEGIC CONSULTING AND MANAGEMENT SEE MEMO",,,"2024"
"SB17","C00869016","HFM1469","ORG","PXI",,,,,,"21 WAREHOUSE ROAD",,"HARRISONBURG","VA","22801","2024-07-01","873.86",,"SHIRTS",,,"2024"
"SB17","C00869016","HFM1470","ORG","QUALITY BISTRO",,,,,,"120 W 55th St",,"New York","NY","10019","2024-08-01","240.42",,"MEALS",,,"2024"
"SB17","C00869016","HFM1471","ORG","QUALITY INN",,,,,,"20530 Dupont Blvd",,"Georgetown","DE","19947","2024-08-19","311.36",,"LODGING",,,"2024"
"SB17","C00869016","HFM1472","ORG","QUICKTRIP",,,,,,"4705 S 129th East Ave",,"Tulsa","OK","74134","2024-07-01","17.99",,"TRAVEL FUEL",,,"2024"
"SB17","C00869016","HFM1473","ORG","QUICKTRIP",,,,,,"4705 S 129th East Ave",,"Tulsa","OK","74134","2024-07-01","355.25",,"TRAVEL FUEL",,,"2024"
"SB17","C00869016","HFM1474","ORG","QUICKTRIP",,,,,,"4705 S 129th East Ave",,"Tulsa","OK","74134","2024-07-01","25.99",,"TRAVEL FUEL",,,"2024"
"SB17","C00869016","HFM1475","ORG","QUICKTRIP",,,,,,"4705 S 129th East Ave",,"Tulsa","OK","74134","2024-09-30","226.86",,"TRAVEL FUEL",,,"2024"
"SB17","C00869016","HFM1476","ORG","Ragnar Research Partners",,,,,,"103 E St SE",,"Washington","DC","20003","2024-07-31","28300",,"POLLING STRAGEGY AND RESEARCH",,,"2024"
"SB17","C00869016","HFM1477","ORG","Ragnar Research Partners",,,,,,"103 E St SE",,"Washington","DC","20003","2024-09-11","32300",,"POLLING",,,"2024"
"SB17","C00869016","HFM1478","ORG","Ragnar Research Partners",,,,,,"103 E St SE",,"Washington","DC","20003","2024-09-18","21450",,"POLLING",,,"2024"
"SB17","C00869016","HFM1479","ORG","RED EYES DOCK BAR",,,,,,"428 Kent Narrow Way N",,"Grasonville","MD","21638","2024-07-29","18.11",,"MEALS",,,"2024"
"SB17","C00869016","HFM1480","ORG","RED OAK STRATEGIES",,,,,,"312 Calvert Ave",,"Alexandria","VA","22301","2024-08-26","37170",,"STRATEGY CONSULTING",,,"2024"
"SB17","C00869016","HFM1481","ORG","RED OAK STRATEGIES",,,,,,"312 Calvert Ave",,"Alexandria","VA","22301","2024-09-03","10000",,"STRATEGY CONSULTING",,,"2024"
"SB17","C00869016","HFM1482","ORG","RED OAK STRATEGIES",,,,,,"312 Calvert Ave",,"Alexandria","VA","22301","2024-09-27","10000",,"DATA STRATEGY",,,"2024"
"SB17","C00869016","HFM1483","ORG","RED OCTOBER PRODUCTIONS",,,,,,"1851A MCGUCKIAN STREET",,"ANNAPOLIS","MD","21401","2024-07-31","1799.88",,"MEDIA PRODUCTION",,,"2024"
"SB17","C00869016","HFM1484","ORG","RED OCTOBER PRODUCTIONS",,,,,,"1851A MCGUCKIAN STREET",,"ANNAPOLIS","MD","21401","2024-07-31","17328.86",,"MEDIA PRODUCTION",,,"2024"
"SB17","C00869016","HFM1485","ORG","RED OCTOBER PRODUCTIONS",,,,,,"1851A MCGUCKIAN STREET",,"ANNAPOLIS","MD","21401","2024-07-31","3058.13",,"MEDIA PRODUCTION",,,"2024"
"SB17","C00869016","HFM1486","ORG","RED OCTOBER PRODUCTIONS",,,,,,"1851A MCGUCKIAN STREET",,"ANNAPOLIS","MD","21401","2024-07-31","17940",,"MEDIA PRODUCTION",,,"2024"
"SB17","C00869016","HFM1487","ORG","RED OCTOBER PRODUCTIONS",,,,,,"1851A MCGUCKIAN STREET",,"ANNAPOLIS","MD","21401","2024-08-14","41463.38",,"MEDIA PRODUCTION",,,"2024"
"SB17","C00869016","HFM1488","ORG","RED OCTOBER PRODUCTIONS",,,,,,"1851A MCGUCKIAN STREET",,"ANNAPOLIS","MD","21401","2024-08-15","10413.36",,"MEDIA PRODUCTION",,,"2024"
"SB17","C00869016","HFM1489","ORG","RED OCTOBER PRODUCTIONS",,,,,,"1851A MCGUCKIAN STREET",,"ANNAPOLIS","MD","21401","2024-07-02","301.88",,"POSTAGE",,,"2024"
